,TARGETID,Redrock z,Redrock spectype,best z,best spectype,best flag,N_VI,all VI issue,all VI comments,merger comment,DELTACHI2,ZWARN,ZERR,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z
1373,3.51913E+16,0.3405,GALAXY,0.3405,GALAXY,4,3,--|--|--,--| LRG|--,none,407.6966444,0,6.94E-05,4865,2.4888775,10.676791,22.796568,0.97748286,4.1932073,8.953135,0.94900125,0.9653539,0.9804701
1374,3.51913E+16,0.396,GALAXY,0.396,GALAXY,4,3,--|--|--,--| LRG|--,none,665.1750411,0,4.19E-05,4852,3.420024,17.12167,40.90279,0.91586775,4.5851097,10.953591,0.9487027,0.9651493,0.9803539
1375,3.51913E+16,0.2289,GALAXY,0.2289,GALAXY,4,3,--|--|--,--|--|--,none,2096.994998,0,2.97E-05,4894,10.650078,37.787334,77.14437,3.6664138,13.008733,26.557852,0.94907814,0.9654066,0.9805001
1376,3.51913E+16,0.1272,GALAXY,0.1272,GALAXY,4,3,--|--|--,--|--|--,none,3019.885935,0,4.61E-06,4877,8.463992,13.851911,19.770584,2.4612353,4.027982,5.749067,0.9508607,0.96662766,0.98119354
1377,3.51913E+16,0.1283,GALAXY,0.1283,GALAXY,4,3,--|--|--,--|--|--,none,7068.885726,0,2.60E-06,4893,7.634027,12.522148,17.727232,4.011449,6.580008,9.315122,0.94845235,0.96497774,0.98025644
1378,3.51913E+16,0.2523,GALAXY,0.2523,GALAXY,4,3,--|--|--,--|LRG|--,none,770.5771123,0,4.73E-05,4856,4.9494724,16.748842,33.69609,2.0041232,6.781883,13.644103,0.9536036,0.9685051,0.9822591
1379,3.51913E+16,0.2264,GALAXY,0.2264,GALAXY,4,3,--|--|--,--|--|--,none,9769.07653,0,3.35E-06,4882,4.2983656,7.7679415,11.026131,1.9465301,3.51774,4.9932227,0.9498542,0.96593827,0.98080206
1380,3.51913E+16,0.3331,GALAXY,0.3331,GALAXY,4,3,--|--|--,--|--|--,none,1471.019731,0,1.03E-05,4887,5.336505,14.02376,25.420538,1.4480766,3.8053892,6.897939,0.95229137,0.9676071,0.98174953
1381,3.51913E+16,0.2038,GALAXY,0.2038,GALAXY,4,3,--|--|--,--|--|--,none,1277.6742,0,8.61E-06,4898,3.6404395,7.2502527,10.642305,1.223859,2.4374216,3.5777767,0.9497103,0.9658397,0.9807461
1382,3.51913E+16,0.1531,GALAXY,0.1531,GALAXY,4,3,--|--|--,--|--|--,none,2075.549872,0,6.26E-06,4973,38.598076,71.0823,108.56864,4.492627,8.273632,12.636859,0.9526792,0.96787256,0.9819002
1383,3.51913E+16,0.3889,GALAXY,0.3889,GALAXY,4,3,--|--|--,--|LRG with weak OII|--,none,1161.795021,0,4.19E-05,4799,3.845757,21.40221,51.86287,1.1346798,6.314662,15.301994,0.94660294,0.96370983,0.97953576
1384,3.51913E+16,0.1259,GALAXY,0.1259,GALAXY,4,3,--|--|--,--| LRG|--,none,1496.888501,0,3.61E-05,4756,11.119284,27.922869,51.345505,3.5161273,8.829739,16.236418,0.9524613,0.96772337,0.9818156
