,TargetID,Redrock z,Redrock spectype,best redshift,best spectype,vi_combined_flag,N_VI,DELTACHI2,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z,TARGET_RA,TARGET_DEC
1279,35191347774227241,0.1296,GALAXY,0.1296,GALAXY,3.6666666666666665,3,511.00958952866495,3538,9.582761,23.225647,39.067679999999996,2.4160016,5.85564,9.849727,0.94890803,0.96529,0.9804338,181.2442586247161,58.93289352096893
1280,35191347774227280,0.1246,GALAXY,0.1246,GALAXY,3.0,3,710.4615161884576,3541,8.947006,22.5811,39.245940000000004,3.0271787999999997,7.6402125,13.278687,0.9490847,0.96541107,0.9805026,181.30652246915184,58.94859696362617
1281,35191347774227474,0.2383,GALAXY,0.2383,GALAXY,4.0,3,1529.993821941316,3513,7.151758999999999,26.123601999999998,51.260643,3.073485,11.226678,22.02938,0.94835496,0.9649110000000001,0.98021847,181.1717670842071,58.947003297629465
1282,35191347774227544,0.0,STAR,0.0,STAR,4.0,3,178.5889085791805,3549,3.0692785,9.077874000000001,16.841549,1.0133188,2.99705,5.5602183,0.9454869,0.9629443000000001,0.97910047,181.42897585088505,58.95303160639517
1283,35191347774227649,0.1273,GALAXY,0.1273,GALAXY,4.0,3,610.1566172242166,3534,3.5012567000000003,6.877585400000001,10.696717999999999,1.3901263000000001,2.7306519000000002,4.246987,0.94762605,0.9644113999999999,0.9799346,181.37674788974357,58.96355405318928
1284,35191347774227655,0.5788,GALAXY,0.5788,GALAXY,1.0,3,5.55540643632412,3531,2.924417,6.892885000000001,11.924635,0.8530459999999999,2.0106394,3.4783897000000006,0.94891506,0.96529484,0.98043656,181.11505332399452,58.964296983490286
1285,35191347774227722,0.3225,GALAXY,0.3225,GALAXY,4.0,3,624.8808433897793,3722,2.8842687999999996,7.0462413,12.892683,0.86095804,2.1033123,3.8484828,0.94966006,0.9658053,0.98072654,181.03190047648303,58.9701910035666
1286,35191347774227775,0.1275,GALAXY,0.1275,GALAXY,2.0,3,240.89687762688843,3514,3.9690550000000004,10.543475,19.893974,1.6702461,4.436874400000001,8.371724,0.9480006999999999,0.9646681999999999,0.98008054,181.22522940541802,58.972066407241144
1287,35191347774227926,0.5423,GALAXY,0.5423,GALAXY,3.0,3,109.36802916973828,3501,2.3748746,7.5701303,17.48195,0.6044628000000001,1.9267805,4.449578,0.9489306999999999,0.96530557,0.98044264,181.14405948189759,58.984244874146775
1288,35191347774228064,0.2215,GALAXY,0.2215,GALAXY,4.0,3,29007.108728408813,3510,12.83882,21.309635,28.439047,4.2578535,7.067106699999999,9.431498,0.9484531999999999,0.96497834,0.98025674,181.3143054379545,58.996789631408454
